user;categoria
6064760420;94
6946523148;44
5502509488;68
7694015486;89
3873569755;68
4430917981;27
7788436986;7
4805275891;29
5986121174;50
2304716746;22
8110741601;31
9185887243;94
2971330192;71
5835417683;35
3238690167;68
4525170228;111
9355209405;91
4307201931;21
1820654095;62
9288952426;62
7690000503;51
3620731084;51
4468282790;83
2914245211;51
9268264706;83
3051255697;27
3314921085;38
7931727351;3
2159005986;32
2310715491;32
9745726382;32
3590207998;39
4491066735;39
5056506300;39
6934839358;39
8217134682;39
8408955108;39
9269400812;39
8802462511;93
2311867842;83
4114747371;94
6619813653;63
2061989625;67
4778542026;56
3389409847;94
6336197702;51
5485666784;50
4967991560;3
6803383811;3
5256280465;44
8162602026;110
7072501062;83
7313936413;83
4347304951;5
1359295948;29
8376924253;72
6964664402;67
9661126582;68
3470771661;35
7355300571;26
1427488622;83
4192517491;62
4536752908;62
1034201216;32
5447408481;35
6950227235;11
8928651488;83
5869758986;51
6785808613;29
1007776974;60
7902674476;44
2716856043;62
4216293791;32
4921564766;51
6890746564;51
9318059232;51
8330998726;89
5074691463;62
1145489443;89
1483817676;89
3576156574;89
9355209405;89
4491066735;16
6252566318;16
3748712912;68
9126890566;68
8802462511;93
3581577665;51
1754884857;30
5815767902;66
6849336823;32
1197539782;67
1437970334;62
8010139706;62
1521262985;94
8302669461;27
2935513214;83
1141328061;51
6704775873;50
1687284267;89
2881353128;27
4783860141;27
5467287185;27
5659933183;27
9597005278;27
1450871027;44
5032325143;73
9055200373;51
7779290017;68
3807077604;27
4090363990;108
8538833207;51
1145489443;83
8764488614;83
1264571598;51
8259473853;39
6424496561;39
8960121351;67
7243550527;44
5146567768;62
6787883322;51
2061989625;61
8650269673;61
1093305061;32
9141009122;83
5191353138;89
1855775585;99
7148799058;99
4726755785;27
2061989625;44
2828876298;39
4476403840;51
1282438055;68
9958360954;34
2850338823;18
5179547721;43
5236103192;43
6856523237;90
9473724391;17
6537573690;70
1476025932;29
7162566154;29
8614818366;25
1747088341;91
6965825842;32
7501956793;68
9317633613;41
4895031021;89
8648258642;76
3846708577;30
3561548802;83
5077847421;43
7771027086;43
7870077076;43
3551376135;72
1626278714;27
2132506991;27
4062244447;27
4834131836;27
5829803972;27
5891706040;27
4412249790;82
1481275824;108
9352718418;94
7166815722;51
1708390702;45
6522018232;45
6562553538;45
6014854440;87
3962211605;67
7971631518;30
3038180334;32
5986903376;29
8453223790;62
9188810614;62
3187410302;39
4460893101;39
6790064944;39
3264493032;90
4346577305;87
3217512408;94
1849066268;32
2038168141;89
8724320343;83
6965175646;27
8532441760;32
7535303107;11
6512924844;89
6634357096;32
9424574585;24
1581969641;62
2457533063;62
4581060514;62
9166497591;56
7558025846;94
7577407900;34
5650298325;90
6532346257;68
9182364238;39
3770678482;94
5055847483;94
7552601142;50
4970186224;75
2499071551;97
5319157182;97
4119106721;27
1594348105;67
8564377287;60
3950451236;83
6537164152;29
4557976052;57
7636661046;35
6879749982;68
1952442076;32
6962061761;32
6074675608;39
2919714558;80
6848284942;44
5015351404;17
8979000567;90
3782584463;27
4784202500;27
4943303012;27
6495870292;27
2247666671;24
5304761913;60
1590125584;51
5500558267;14
5963781821;56
8098571967;20
1995068411;96
7650474101;24
2856340101;48
8527470477;89
4460938175;29
1714853112;89
1825642115;89
4274107338;27
4354706382;22
4724782472;57
5969761267;30
6626469911;3
9764713347;68
1706700125;51
3867243482;72
2687602383;32
7433818401;89
7837240575;22
3476326898;32
5435126442;32
8698234011;32
1037173852;39
1069745870;39
3229372772;39
2273107942;62
3199940007;62
6373807750;82
5444569407;91
6898532161;30
4077667087;83
5870890382;29
5630281096;32
9156722403;32
1212445861;89
5710963792;111
2427412135;4
4784202500;27
7293950615;47
1840021864;68
4264101971;68
5465152636;22
5466602598;88
5537416873;24
6347852991;41
7820131142;29
9705647873;29
3132306177;35
9239410583;55
6696367486;62
8522284517;69
6359807251;90
9239209954;49
4404192998;68
3877283303;39
7017909416;51
2701253966;17
8310442688;108
8827072684;56
1760542297;67
3908355288;65
2861914087;83
5884073045;83
7181668461;83
6406625404;21
6329430804;50
5073286643;35
1420018586;68
3103843426;60
7324805203;67
9791425693;67
1270173251;27
1917914331;27
3252747770;27
4687638428;27
7620970876;27
7787138675;27
8847862602;27
5385795091;39
8156360637;71
3556369458;66
1182979367;89
1663977786;29
7153288116;29
4253368234;62
6424618674;83
8412138532;27
8571686783;29
4298498963;68
9200439245;27
1445517850;56
3474468824;97
5182131292;51
5180330301;99
2321734355;68
2901200132;27
6283821602;96
2143154752;53
7895349480;27
8504262551;27
1287319165;29
6841434150;39
3938285793;67
6477764830;24
8870871951;5
3261481941;80
3477457628;80
